titulo,preco,marca,modelo,km,ano,tipo,pot_motor,kit_gnv,cor,combustivel,portas,cambio,direcao,municipio,url
VOLKSWAGEN POLO 1.0 TSI FLEX 12V 5P 2024 - 1355632801 | OLX,R$ 72.490,VOLKSWAGEN,VOLKSWAGEN POLO 1.0 TSI FLEX 12V 5P,60927,2024,Hatch,1.0,Não,Branco,Flex,4 portas,Manual,Elétrica,São Carlos,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-polo-2024-1-0-mpi-manual-1355632801
FIAT 1.0 6V FLEX 2024 - 1361744198 | OLX,R$ 78.890,FIAT,FIAT 1.0 6V FLEX,43389,2024,Sedã,1.0,Não,Branco,Flex,4 portas,Manual,Elétrica,São Carlos,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/fiat-cronos-2024-1-0-firefly-flex-drive-manual-1361744198
CHEVROLET PLUS LT 1.0 12V TB FLEX MEC. 4P 2024 - 1361892877 | OLX,R$ 74.990,CHEVROLET,CHEVROLET PLUS LT 1.0 12V TB FLEX MEC. 4P,53416,2024,Hatch,1.0,Não,Prata,Flex,4 portas,Manual,Elétrica,Mogi das Cruzes,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-onix-2024-1-0-flex-plus-lt-manual-1361892877
HYUNDAI I30 2.0 16V 145CV 5P AUT. 2011 - 1284787363 | OLX,R$ 38.900,HYUNDAI,HYUNDAI I30 2.0 16V 145CV 5P AUT.,98247,2011,Hatch,2.0 - 2.9,Sim,Preto,Gasolina,4 portas,Automático,Hidráulica,Rio de Janeiro,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/hyundai-i30-automatico-com-gnv-1284787363
CHEVROLET SPIN LTZ 1.8 8V ECONO.FLEX 5P AUT. 2018 - 1300285519 | OLX,R$ 55.900,CHEVROLET,CHEVROLET SPIN LTZ 1.8 8V ECONO.FLEX 5P AUT.,78633,2018,Hidráulica,1.8,Não,Preto,Flex,4 portas,Automático,Hidráulica,Rio de Janeiro,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/spin-ltz-1-8-8v-econo-flex-5p-aut-1300285519
HYUNDAI HB20 SENSE 1.0 12V FLEX MEC. 2024 - 1349750108 | OLX,R$ 69.290,HYUNDAI,HYUNDAI HB20 SENSE 1.0 12V FLEX MEC.,49345,2024,Hatch,1.0,Não,Prata,Flex,4 portas,Manual,Elétrica,São Carlos,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-2024-1-0-12v-flex-sense-plus-manual-1349750108
FIAT CRONOS DRIVE 1.3 8V FLEX 2024 - 1356447977 | OLX,R$ 84.290,FIAT,FIAT CRONOS DRIVE 1.3 8V FLEX,49708,2024,Sedã,1.3,Não,Prata,Flex,4 portas,Manual,Elétrica,Mogi das Cruzes,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-cronos-2024-1-3-firefly-flex-drive-manual-1356447977
VOLKSWAGEN T-CROSS 1.0 TSI FLEX 12V 5P AUT. 2024 - 1357282575 | OLX,R$ 111.790,VOLKSWAGEN,VOLKSWAGEN T-CROSS 1.0 TSI FLEX 12V 5P AUT.,44434,2024,SUV,1.0,Não,Branco,Flex,4 portas,Automático,Elétrica,Mogi das Cruzes,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-t-cross-2024-1-0-200-tsi-total-flex-automatico-1357282575
CHEVROLET TRACKER PREMIER 1.2 TURBO 12V FLEX AUT 2024 - 1357680474 | OLX,R$ 144.890,CHEVROLET,CHEVROLET TRACKER PREMIER 1.2 TURBO 12V FLEX AUT,8506,2024,SUV,1.2,Não,Preto,Flex,4 portas,Automático,Elétrica,São Gonçalo,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-tracker-2024-1-2-turbo-flex-premier-automatico-1357680474
HYUNDAI HB20 COMFORT 1.0 TB FLEX 12V AUT 2024 - 1358345761 | OLX,R$ 85.290,HYUNDAI,HYUNDAI HB20 COMFORT 1.0 TB FLEX 12V AUT,46156,2024,Hatch,1.0,Não,Cinza,Flex,4 portas,Automático,Elétrica,São Gonçalo,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-2024-1-0-tgdi-flex-comfort-automatico-1358345761
CHEVROLET HATCH LT 1.0 12V FLEX MEC. 4P 2024 - 1359629108 | OLX,R$ 75.190,CHEVROLET,CHEVROLET HATCH LT 1.0 12V FLEX MEC. 4P,28047,2024,Hatch,1.0,Não,Branco,Flex,4 portas,Manual,Elétrica,São Gonçalo,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-onix-2024-1-0-flex-lt-manual-1359629108
CHEVROLET TRACKER PREMIER 1.2 TURBO 12V FLEX AUT 2024 - 1360032943 | OLX,R$ 128.290,CHEVROLET,CHEVROLET TRACKER PREMIER 1.2 TURBO 12V FLEX AUT,44717,2024,SUV,1.2,Não,Branco,Flex,4 portas,Automático,Elétrica,São Carlos,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-tracker-2024-1-2-turbo-flex-premier-automatico-1360032943
CHEVROLET PLUS LT 1.0 12V TB FLEX MEC. 4P 2024 - 1360085359 | OLX,R$ 75.990,CHEVROLET,CHEVROLET PLUS LT 1.0 12V TB FLEX MEC. 4P,49784,2024,Hatch,1.0,Não,Prata,Flex,4 portas,Manual,Elétrica,Mogi das Cruzes,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-onix-2024-1-0-flex-plus-lt-manual-1360085359
TOYOTA RAV4 2.0 4X2 16V AUT. 2014 - 1284036607 | OLX,R$ 81.900,TOYOTA,TOYOTA RAV4 2.0 4X2 16V AUT.,110000,2014,SUV,2.0 - 2.9,Não,Preto,Gasolina,4 portas,Automático,Hidráulica,Rio de Janeiro,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/toyota-rav-4-2-0-4x2-com-gnv-1284036607
TOYOTA ETIOS X PLUS 1.5 FLEX 16V 5P AUT. 2020 - 1284038023 | OLX,R$ 59.900,TOYOTA,TOYOTA ETIOS X PLUS 1.5 FLEX 16V 5P AUT.,49841,2020,Sedã,1.5,Não,Branco,Flex,4 portas,Automático,Elétrica,Rio de Janeiro,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/etios-x-plus-sedan-automatico-1284038023
KIA MOTORS SPORTAGE EX 2.0 16V/ 2.0 16V FLEX AUT. 2013 - 1300344917 | OLX,R$ 66.900,KIA MOTORS,KIA MOTORS SPORTAGE EX 2.0 16V/ 2.0 16V FLEX AUT.,100,2013,SUV,2.0 - 2.9,Sim,Branco,Gasolina,4 portas,Automático,Hidráulica,Rio de Janeiro,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/kia-sportage-ex-com-teto-solar-1300344917
CITROEN C4 CACTUS FEEL 1.6 16V FLEX AUT. 2023 - 1333279287 | OLX,R$ 84.990,CITROEN,CITROEN C4 CACTUS FEEL 1.6 16V FLEX AUT.,49506,2023,SUV,1.6,Não,Cinza,Flex,4 portas,Automático,Mecânica,Mogi das Cruzes,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/citroen-c4-cactus-2023-1-6-vti-120-flex-feel-eat6-1333279287
CHEVROLET HATCH LT 1.0 12V FLEX MEC. 4P 2024 - 1345205936 | OLX,R$ 69.990,CHEVROLET,CHEVROLET HATCH LT 1.0 12V FLEX MEC. 4P,55757,2024,Hatch,1.0,Não,Branco,Flex,4 portas,Manual,Elétrica,São Carlos,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-onix-2024-1-0-flex-lt-manual-1345205936
MITSUBISHI PAJERO SPORT HPE 2.4 4X4 DIESEL AUT. 2010 - 1357422196 | OLX,R$ 59.900,MITSUBISHI,MITSUBISHI PAJERO SPORT HPE 2.4 4X4 DIESEL AUT.,0,2010,Perua,2.0 - 2.9,Não,Azul,Diesel,4 portas,Automático,5,Fortaleza,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/pajero-sport-hpe-2-4-4x4-diesel-aut-2010-2010-carro-extra-1357422196
CHEVROLET TRACKER LTZ 1.0 TURBO 12V FLEX AUT 2023 - 1359773762 | OLX,R$ 111.390,CHEVROLET,CHEVROLET TRACKER LTZ 1.0 TURBO 12V FLEX AUT,45115,2023,SUV,1.0,Não,Branco,Flex,4 portas,Automático,Elétrica,São Gonçalo,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-tracker-2023-1-0-turbo-flex-ltz-automatico-1359773762
CHEVROLET HATCH LT 1.0 12V FLEX MEC. 4P 2024 - 1360044284 | OLX,R$ 73.590,CHEVROLET,CHEVROLET HATCH LT 1.0 12V FLEX MEC. 4P,32561,2024,Hatch,1.0,Não,Prata,Flex,4 portas,Manual,Elétrica,São Gonçalo,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-onix-2024-1-0-flex-lt-manual-1360044284
FIAT STRADA ENDURANCE 1.3 FLEX 8V CS 2024 - 1361737931 | OLX,R$ 83.590,FIAT,FIAT STRADA ENDURANCE 1.3 FLEX 8V CS,48586,2024,Pick-up,1.3,Não,Branco,Flex,2 portas,Manual,Elétrica,São Carlos,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/fiat-strada-2024-1-3-firefly-flex-endurance-cs-plus-manual-1361737931
HYUNDAI CRETA PULSE PLUS 1.6 16V FLEX AUT. 2020 - 1287114801 | OLX,R$ 87.900,HYUNDAI,HYUNDAI CRETA PULSE PLUS 1.6 16V FLEX AUT.,45502,2020,SUV,1.6,Sim,Prata,Flex,4 portas,Automático,5,Rio de Janeiro,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/creta-1-6-pulse-plus-1287114801
